Площа житла,Кількість спалень,Відстань до центру міста,Ціна житла
84,5,3,860.6256608900457
167,3,4,1678.8782520258603
177,4,9,1774.2624086095875
94,4,19,921.8170785904795
149,3,5,1497.3521994224216
91,3,8,906.3541924206631
153,1,11,1514.6310056850728
98,5,4,997.7133605346442
177,2,16,1750.3295232964597
188,1,15,1856.413573986888
118,2,14,1161.0154522015646
67,1,4,666.4847383855756
53,5,4,546.1549584101735
151,5,7,1519.3591804055106
144,2,3,1443.2901373439504
79,4,6,801.129551189676
152,4,4,1531.5795657670294
173,4,4,1745.3098256057172
110,2,8,1092.4235725921114
185,4,19,1832.9694763574803
123,3,3,1238.0929642173157
195,3,17,1932.0599989907853
71,5,8,717.2644197497547
144,2,11,1429.6838596501443
193,4,14,1920.8401502882955
67,3,17,651.6261605006268
60,4,6,607.4326099166461
195,1,9,1938.764206415423
181,4,12,1808.3400514410835
123,5,2,1251.1797626423252
79,1,7,779.8340139194673
182,2,6,1818.1135844901014
140,4,9,1402.3669382622832
150,4,11,1499.9460047078676
184,1,8,1827.4667068267759
82,5,5,832.9398618528521
131,5,19,1296.9206161758825
169,5,16,1683.4540309790152
168,2,3,1684.5608643832345
